13th Floor BBS                           13th.hoyvision.com:6400
BLOODBBS                                 blood.bbsn.us:2323
Blue Wave BBS                            110.232.113.108
Boar's Head Tavern                       byob.hopto.org:64128
BodaX BBS                                bbs.beardy.se
Boebertfeet                              66.228.38.176:52270
BoobTube                                 bbs.wz5bbs.com
Books Chess Server                       books.internetking.us:5000
Boot Factory 2K+                         bfbbs.no-ip.com:8888
Borderline BBS                           borderlinebbs.dyndns.org:6400
Bottomless Abyss BBS                     bbs.bottomlessabyss.net:2023
Brain Storm BBS (SSH)                    bsbbs@bsbbs.com.br:22
BrainToys BBS                            braintoys.org
Brazi.net                                brazi.net
Brett Bender BBS                         207.90.251.241:2323
Brewery BBS                              thebrewery.servebeer.com:6400
Brian's Blog TWGS                        tw2002.briancmoses.com
Brigandine                               brigandine.org:9390
Brokedown Palace BBS                     palace.brokedownpalace.online:2323
Broken Bit Syndicate                     www.brokenbit.us:2323
Broken Bubble                            bbs.thebrokenbubble.com
BUEMA BBS                                bbs.buema.ch:2300
Bumgun Club BBS                          bumgun.club
Butterfly BBS                            211.68.71.66
Byte Me BBS                              chat.hohimer.org:2323
ByteBarn BBS                             bbs.bytebarn.de:2300
C3BBS                                    c3bbs.retronetworking.org
C64 Pub                                  bbs.c64.pub
Cabana Bar BBS                           bbs.cabanabar.net:11123
Cabin BBS, The                           thecabinbbs.com:6400
Camelot BBS                              camelotb.synchro.net
Canerduh BBS                             bbs.canerduh.com:23905
Capital Station BBS                      csbbs.dyndns.org
Capitol City Online BBS                  capitolcityonline.net
Captain's Quarters BBS II                cqbbs.ddns.net:6800
Castle BBS                               47.46.52.130
Castle Rock BBS                          cedarvalleybbs.com:2424
Catpit BBS                               bbs.cis92.net
Catsweat TWGS                            24.88.72.99
Cave BBS                                 cavebbs.homeip.net
CB2 Micro BBS                            email.qrp.gr:2323
Cbaxyz TWGS                              tdod.org:2002
CBBS/TN                                  cbbs.mitsaltair.com:8800
CCUW BBS                                 rtc.to
CCX BBS                                  bbs.ccxbbs.net
CedarValley BBS                          cedarvalleybbs.com:2525
CedarValley BBS 2                        cedarvalleybbs.com:2626
Cement City                              scenewall.bbs.io:4000
Censorship BBS                           blog.zenithrifle.cfd:8888
Central Ontario Remote (Mystic)          centralontarioremote.net
Central Ontario Remote (TWGS)            centralontarioremote.net:2002
Centronian BBS                           bbs.centronian.ca:6400
Centrum BBS                              bbs.ninthchevron.com.au
Cheez Daddy's House of Funk              atari8.us:10001
Chimia BBS                               chimia.se:2323
Choice Core BBS (1st)                    1stchoicecore.co.nz
Choice Core BBS (2nd)                    2ndchoicecore.nz:1024
Chookfest BBS                            bbs.chookfest.net:6800
Chris BBS                                5.231.180.215
Christian Fellowship                     cfbbs.no-ip.com:26
Chrome 30 BBS                            3.136.234.155
Chrysalis Online Services TBBS BBS       chrysalisbbs.org:8888
CIA Amiga BBS                            ciaamiga.org:6400
CIRCL's BBS                              bbs.circl.lu
Citadel 64 BBS                           citadel64.thejlab.com:6400
Cittadella BBS                           bbs.cittadellabbs.it:4001
City on the Edge of Forever              interzone.annexia.xyz:2002
CJ's Place                               cjsplace.thruhere.net
Clacker Works                            cw.qc.to:9000
Classic BBS                              board.classicbbs.net:9339
Classic Computing BBS                    bbs.classiccomputing.net
Classic Macs BBS                         macos.retro-os.live
Clover BBS                               51.89.167.62
Clover Love (Chinese)                    segaa.net
Clube da Insonia BBS                     bbs.conf.eti.br
Clutch                                   clutchbbs.com
Coal Mine BBS                            84.104.78.157
CodeRed BBS                              coderedmud.servegame.com:2323
Cold Fusion BBS                          cfbbs.net
Cold Winter Knights                      bbs.coldwinterknights.net:8888
Colorado Springs Central Net TWGS        cscnet1.net:2002
Colorado Springs Network                 cscnet1.net
Colossus BBS                             bbs.qzwx.com
Commander Central                        45.10.160.94
Commodore 4ever BBS                      c4everbbs.ddnsgeek.com:20098
Commodore Image                          cib.dyndns.org:6400
Commodore Image II                       cib.dyndns.org:6401
Commodore Image III                      cib.dyndns.org:6402
Comms Nuts BBS                           203.38.121.134:2323
Company Citadel BBS                      www.companycitadel.us
Computer Express                         cebbs.costakis.org
Computer God                             cpugod.synchro.net
Concrete Roots                           concreteroots.servebbs.org
Constructive Chaos BBS                   conchaos.synchro.net
Constructive Chaos TWGS                  conchaos.synchro.net:2002
Convolution                              convolution.us
Cool Blue TWGS                           76.147.103.179:2002
Cool David                               bbs.cooldavid.org
Cottonwood BBS                           cottonwoodbbs.dyndns.org:6502
Crack In Time BBS                        crackintimebbs.ddns.net:2323
CrappieCracker Online BBS                www.crappiecracker.com:2323
Crazy Eric's BBS                         bbs.crazyerics.com
Crazy Paradise                           cpbbs.de:2323
Crusty Chicken TWGS                      69.4.62.151
Crypt BBS (2)                            thecrypt.synchronetbbs.org:513
Crystal Palace                           cptalker.com:9900
Crystal Set                              zl4kj.nz
Cyber Sword                              bbs.excalibursheath.com
CyberDen BBS                             167.172.127.245:2323
Cyberia BBS                              sysgod.org:23000
Cyberspace BBS (Synchronet)              cyberspacebbs.net
Cyberspace BBS (Worldgroup)              cyberspacebbs.net:2323
Cyrellia BBS                             bbs.cyrellia.com
D0P3 BBS                                 bbs.intersrv.net
Danger Bay BBS                           dangerbaybbs.dyndns.org:1337
Dank Domain                              play.ddgame.us
Dark Endless                             darkendlessbbs.hopto.org:6510
Dark Game BBS                            darkgame.buanzo.org
Dark Realms                              bbs.darkrealms.ca
Dark Systems BBS                         bbs.dsbbs.ca
Dark Wastelands                          darkwastelands.com:8888
DarkAges BBS                             serverme.net
DarkForce! BBS, The                      darkforce-bbs.dyndns.org:1040
Darklevel                                darklevel.hopto.org:64128
DarkMatter's TWGS                        twgs.geekm0nkey.com
Darkwood BBS                             darkwood.ddns.net
Datotal                                  datotal.net:35723
Dave's BBS                               143.223.235.160
Dawn of Demise (MajorBBS)                tdod.org:3000
Dawn of Demise (Synchronet)              tdod.org:5000
Dawn of Demise (Worldgroup)              tdod.org
Dead Carrier BBS                         the-rotten-core.strangled.net:2323
Dead Internet Society                    deadinternet.synchronetbbs.org
Dead Zone BBS                            dzbbs.hopto.org:64128
Deadbeatz BBS                            deadbeatz.org
Death Row BBS                            deathrow.servebbs.org:1001
DeepSkies BBS                            bbs.deepskies.com:6400
Delta City BBS                           deltacity.se
Demigoth BBS                             bbs.demigoth.com
Demonsnet BBS                            demonsnet.com
Desert Rats Sanctuary BBS                bbs.kn6q.org
Desert Rats Sanctuary TWGS               bbs.kn6q.org:2002
DHXY                                     dhxy.info
Diamond Mine Online (Synchronet)         bbs.dmine.net:24
Diamond Mine Online (WWIV)               bbs.dmine.net:2323
Digicom BBS                              bbs.digicombbs.com:2323
Digital Asylum                           digitalasylum.com.ar:2323
Digital Dial BBS                         digitaldial.homeunix.com:2300
Digital Distortion                       bbs.digitaldistortionbbs.com
Digital Dreams                           ddreams.synchro.net
Digital Lethargia BBS                    www.diglet.ca
Digital Post                             thedigitalpost.freeddns.org
Digital Rainbow                          bbs.digitalrainbow.info
Digital Warfare                          bbs.digital-warfare.net:10281
Digital Zone                             5.150.245.20:2323
Dime BBS                                 alcoholidaybbs.com:94
Disconnected by Peer BBS                 bbs.disconnected-by-peer.at
Diskbox ][                               tag.diskbox2.net
Distortion                               d1st.org
DJ Dave BBS                              djdave.uk:8088
DJ's Place                               bbs.impakt.net:6502
DLWX BBS                                 107.175.69.10:60023
DniproWave BBS                           bbs.net.ua
Dock Sud                                 bbs.docksud.com.ar
Dogtown BBS                              bbs.kiwi.net
Donghua Univ. Oriental Town              bbs.ndhu.edu.tw
Door Games Unlimited                     dgu.strangled.net
Dove Only                                casper.homeip.net
DownUnder BBS                            202.90.240.159
Drakefire BBS                            bbs.drakefire.com
Dream Garden                             cd.csie.io
Dream Land BBS                           ccns.cc:3456
Dreamland BBS                            104.174.3.6
Dreamline BBS                            din.asciiattic.com
DUAO BBS                                 hermes.okyler.com
Dundarach BBS                            dundarach.tplinkdns.com
Dungeon BBS                              59.167.142.49:22
Dura-Europos                             dura-bbs.net:6359
Dynamite BBS (1)                         dynamite.bbsing.com
Dynamite BBS (2)                         dynamite.synchronetbbs.org:513
Dyslexic Donkey                          dydo.erb.pw:1337
Eagle's Dare BBS                         bbsdoors.com
Eat My Shorts! BBS                       ems-bbs.com
Echo Base BBS                            96.27.249.221
Echo Chamber BBS                         echochamber.zapto.org:3640
Eclipse BBS                              eclipsebbs.com
Efectolinux                              bbs.efectolinux.com
Eldritch Clockwork                       eldritchclockwork.net
Electraphysics                           142.11.212.221
Electronic Chicken BBS                   bbs.electronicchicken.com
Elevator BBS                             162.212.158.202
Emerald Hill BBS                         bbs.emeraldhill.org
Emerald Valley                           bbs.emeraldvalley.net
Empire of the Dragon BBS                 bbs.eotd.com
EMU486                                   bbs.emu486.net
Enchanted BBS                            47.38.20.227
End Of The Line BBS                      endofthelinebbs.com
ENiAC 2.0 BBS                            eniacv2.net:1337
Enigma BBS                               enigma-bbs.com
Enigma Echo                              79.253.89.153:2323
Enlight BBS                              enlight.hopto.org:6400
Enterprise BBS                           enterprisebbs.ddns.net:1701
Entropy BBS                              121.99.249.4
ERICADE Network                          the.ericade.net
Error 200 Tech BBS                       bbs.error200.tech:1337
Error 404 (TWGS)                         error404bbs.ddns.net:24
Error 404 BBS File Server                error404bbs.ddns.net:513
Error 404 BBS Phone Book                 error404bbs.ddns.net:419
Escape To Other Worlds                   etow.synchro.net
Eternal Domain BBS                       bbs.eternaldomain.net
Ethernet Gateway                         ethernetgateway.com
Exoplanet                                exoplanetbbs.net
Extreme BBS                              bayvillewireless.com
Extricate BBS                            bbs.extricate.org
Eye of the Beholder                      fido.beholderbbs.org
Eye of the Storm                         on.the.net.nz
Fading Black                             23.95.146.28:8282
Faith Collapsing BBS                     bbs.faithcollapsing.com:2323
Faker BBS                                thafaker.crabdance.com:8088
Family BBS                               familybbs.ddns.net
Fatcats BBS                              fatcatsbbs.com
FDD1                                     fdd.one
Fennec BBS                               50.116.41.177
Fercho BBS                               ferchobbs.ddns.net:2323
File Bank BBS                            tfb-bbs.org
Files 4 Fun BBS                          bbs.f4fbbs.com:2323
Fireball Express (VADV)                  vadv.fireballex.com:2323
Fireside BBS                             firesidebbs.com:23231
First Division                           158.174.185.101:1987
FlipperZero BBS                          bbs.gglab.cloud:2323
FlupH BBS                                fluph.zapto.org
Fluxpod Information Exchange             fix.no:24
FMRL                                     fmrl.throwbackbbs.com:2324
Foenix Rising (1)                        192.184.90.222:256
Fool's Quarter BBS                       fqbbs.synchro.net
Forem XE BBS                             foremxebbs.ddns.net:9999
Forgotten Memories                       dazexy.synology.me:52323
Forze BBS                                bbs.opicron.eu
Free Corner                              bbs.debonne.eu
Freeside BBS                             freeside.bbs.io
Freeway BBS                              freeway.vkradio.com
French Connection                        72.38.168.118:31023
Fria Bad BBS                             78.69.198.127:64128
Frozen Floppy BBS                        bbs.retrohack.se:64128
Frugal Computing BBS                     frugalbbs.com:513
fTelnet Demo Server                      bbs.ftelnet.ca
Fuji Summit                              winnow.1q1.me
Funtopia                                 funtopia.synchro.net:3023
Furry Refuge                             bbs.furryrefuge.com
Future World II                          fw2.cnetbbs.net:6800
Futureland                               futureland.today
Galactic Explorers TWGS                  galacticexplorers.servegame.com:22002
Galaxy 74 BBS                            galaxy74bbs.com
Game Master                              bbs.game-master.com
Gamenet BBS Network                      gamenet.synchronetbbs.org
Gate BBS (Synchronet)                    thegateb.synchro.net
Gate BBS (WWIV)                          thegateb.synchro.net:2424
GatorNet HQ BBS                          gatornet.us
GCC-BBS                                  gcc-bbs.com
GDOS BBS                                 gdos.synchronetbbs.org
GeekCafe.XYZ                             geekcafe.xyz
Generation III Pot-D                     geniv.dyndns.org:150
Genetic-Point BBS                        g-point.tunk.org:500
Ghosts in the Machine                    ghostmachine.ddns.net:1717
GigaBite BBS                             bbs.gigabite.se
GlitchNet                                50.115.170.113
Global Chaos BBS                         globalchaosbbs.com
Global Village BBS                       the.globalvillagebbs.net:2323
Goldmine Community Door Game Server      goldminedoors.com:2513
Goof's Garage                            goofsgarage.com:6464
Goosenet BBS                             bbs.g00r00.com
Grapevine BBS                            99.74.203.226
Greenhead BBS                            bbs.greenhead.ca
Greywolf's Den                           greywolf.synchro.net
Gridlock BBS                             gridlock.synchronetbbs.org
Grimoire BBS                             grimoirebbs.sytes.net
Grinches Realm, The                      tgr.freeddns.org
Ground Control BBS                       gcbbs.net:2323
Ground Zero BBS                          71.239.223.149:2323
Guardian of Forever                      guardian.synchro.net
Guru BBS                                 bbs.bajer.cz:32
Haciend El Bananas                       haciend.com:8821
Hackmeeting 0x1B BBS                     95.217.16.88:8888
Hagar's Helpline                         hagars.org.uk:24
Halcyon BBS                              halcyonbbs.scisweb.org
Halls of Valhalla BBS                    hovalbbs.com:2333
Happyland                                citadel.dc540.org:23230
Harbor BBS                               96.30.192.92
Hard Drive Cafe                          hdcbbs.com
Hated Reality                            hatedreality.homeunix.net
Hawaii BBS Atari 8 Bit                   atari-bbs.zapto.org:8888
Hax0r's Palace                           telnet.unknownrealm.org
Heatwave                                 heatwave.ddns.net:9640
Heights BBS                              heightsbbs.heightspc.net:6860
Herbies BBS                              herbies-bbs.ddns.net:2323
Herbies BBS II                           herbies-bbs.ddns.net
Herbies BBS III                          herbies-bbs.ddns.net:2424
HeXed BBS                                hexedbbs.com:23999
Hidden BBS                               the-hidden.hopto.org:64128
Hidden Paradise                          hpbbs.dyndns.org
Hidden Paradise II                       hpbbs.dyndns.org:2323
High Desert BBS                          highdesertbbs.ddns.net:6400
Highernest TWGS                          199.244.48.171
HispaMSX BBS                             bbs.hispamsx.org
Hobbit Empire                            bbs.hobbitempire.net:6501
Hobbit Station BBS                       wfido.ru:1234
Hobby Line! BBS                          hobbylinebbs.com
Hohimer BBS                              mail.hohimer.org:1336
Hold Fast BBS                            interzone.annexia.xyz:2323
Holodeck BBS                             ufpgc.com:2323
Hologram Computing BBS                   sbbs.hologramcomputing.net
Honey-At-Home                            31.133.0.38
Horizon BBS                              bbs.horizonbbs.org
House of Baud BBS                        houseofbaud.com:8888
Huanian Xiaoji                           literature.twbbs.io
HyNET BBS                                bbs.hyena.network
Hysteria BBS                             bbs.retrorewind.ca
IB-BBS                                   bbs.ibbs.be
ICARUS                                   44.31.91.213
Ice Castle BBS                           ice-castle-bbs.net
Ilefinian Castle                         bbs.elwynor.com
Imzadi Box                               box.imzadi.de
Inconsistency BBS                        66.228.57.87:2323
Infinite Dream BBS                       aws1.fmerino.com.br
Infonet BBS                              bbs.rclabs.com.br:2323
Insane Asylum BBS                        tiabbs.synchro.net
Insomnia                                 insomnia.synchronetbbs.org
INTAA BBS                                bbs.intaa.net
Integrated Telecommunications Centre     itcbbs.ddns.net:23000
Iowa Student Assc. BBS (ISCA)            bbs.iscabbs.com
IPTIA BBS (Synchronet)                   bbs2.ipingthereforeiam.com:2323
ISIS Unveiled                            70.123.70.30
ITBnet BBS                               bbs.itbnet.eu
Itchy Butt BBS (Color 64)                itchybutt.org:6502
Jacob's Hideout BBS                      bbs.jacobcat.app
Jamaica Joe's                            bbs.jamaicajoes.net:8011
JawnCon0x1 BBS                           157.245.141.84:8888
Joe's Computer BBS                       joesbbs.com
Jolly Roger BBS, The                     bbs.thejollyrogerbbs.com:8023
JumpStart BBS                            www.exciter.ws
Jungle BBS (1)                           junglebbs.com
Jungle BBS (2)                           bbs.junglebbs.com
Jupiter                                  jupiter.bbs.io
Kats Alley                               tka.8bitboyz.com:6400
Kaypro BBS                               71.236.163.239
KCM BBS System                           zahrl.ddns.net:2023
KD3net                                   bbs.kd3.us
KD8HFX                                   bbs.kd8hfx.net
KEEP BBS                                 thekeep.net
Kernel Fortress                          kernelfortress.org
Killed In Action BBS                     kia.zapto.org
Kilobaud                                 bbs.kilobaud.xyz:8888
Kilobyte                                 24.166.43.233
Kingdom's End BBS (Mystic)               bbs.kingdomsendbbs.net
Kingdom's End BBS (Synchronet)           sbbs.kingdomsendbbs.net
Kirika BBS                               andcycle.idv.tw
KiwiMates                                96.231.233.47
Korenblom                                bbs.korenblom.nl
Kraaby Gamer BBS                         kraaby.synchro.net
Kuehlbox                                 kuehlbox.wtf
Lab BBS, The                             bbs.dicksonlabs.net:2325
Lake House BBS                           lakehouse.lilpenguins.com:2333
Land of Frogs and Contemplation          lofac.mintyfresh.love
Land of the Lost                         landofthelost.ca:2300
Landover BBS                             landover.synchronetbbs.org
Last Rangers' BBS                        lastrangers.com
Leisure Time BBS                         bbs.riddells.net:10023
Level 29                                 bbs.fozztexx.com
Lexicon BBS (Image BBS)                  lexiconbbs.com:6400
Liane BBS                                bbs.vslib.cz
Lilac Community BBS                      lilacbbs.com
Liquid Digital                           98.212.225.126
Live Wire BBS                            livewirebbs.com:1025
Local Yocal BBS                          localyocalbbs.com
Lord Raptor's Domain                     150.221.218.212
Lord.stabs.org                           lord.stabs.org
Lost Cause Halfway House                 lostcause.house
Lost Caverns BBS                         tlcbbs.dynu.net:6400
Lost Chord BBS (Commodore BBS)           tlcbbs.synchro.net:6400
Lost Chord BBS (Searchlight BBS)         tlcbbs.synchro.net:6023
Lost Chord BBS (Synchronet BBS)          tlcbbs.synchro.net
Lostways BBS                             98.144.7.205
LowCrash DEV BBS                         bbs.lowcrash.dev:8888
LSNET Archive                            bbs.lsnet.dev:513
Luggi BBS                                83.218.168.105
Lunar Mod                                bbs.beanzilla.net:2323
Lunatics Unleashed BBS                   lunaticsunleashed.ddns.net:2333
Lytical HackFund BBS                     134.209.40.1:31337
M. Station                               mstation.servebbs.com
Machdyne BBS                             206.189.226.31
Made To Raid                             bbs.madetoraid.com:2323
Madman with a Blue Box                   madmanbbs.ddns.net
MadWorld BBS                             www.madworldbbs.com:52146
Magic Systems                            86.88.76.77:6323
Magnum BBS                               magnumbbs.net
Mahoney-Clan TWGS                        209.126.4.147
Maiden's Realm BBS                       bbs.maidensrealm.com
Maiks Place BBS                          bbs.maik.ch:2323
Major Mudd                               majormud.gotdns.com
MajorBBS Official Demo BBS               bbs.themajorbbs.com
Maker BBS                                73.11.3.16:2323
Malevolence                              jf2.elderec.net
Malte                                    bbs.swedishchef.org
Maniac Zone                              tmz.synchronetbbs.org
Manic Modem BBS                          telnet.manic-modem.com
Mark Van Daele's TWGS                    game.tw2002.net
Master Boot Record                       mbrserver.com
MasterCom                                bbs.sunspothq.dyndns.org
Mastodon                                 mastodon.uy
MaxBBS                                   maxbbs.ddns.net:24023
Mbpeikert                                mbpeikert.ddns.net
MBSE Professional Dev BBS                phoenix.bnbbbs.net:2323
Medusa BBS                               medusagaming.ca:230
Mega BBS Public BBS System               themegabbs.com:6400
Mel's Diner BBS                          bbs.greenphosphor.ca:6623
Memphis TW BBS                           bbs.memphistw.org
Memphis TW TWGS                          bbs.memphistw.org:2002
Metal Zone                               tmzbbs01.synchro.net
Metro Olografix                          bbs.olografix.org
MicroBlaster TWGS                        microblaster.net:2002
Micropolis BBS                           89.58.56.146
Microtown BBS                            microtownbbs.com:6400
Midnight Club                            club.midnight-club.org
Midnight Lounge                          67.149.17.69
Mimac Rebirth                            mimac.bizzi.org:2323
Missing Links                            mlinks.com
Miya Net                                 miyanet.moe
Mizuki Community (Newsmth BBS)           bbs.newsmth.net
Modemo Tider                             modematider.selstam.nu:50023
Moe's Tavern                             moetiki.ddns.net:27
Mojo's World BBS                         mojo.synchro.net
Monochrome                               mono.org
Monterey BBS (Daydream)                  137.184.84.9
Monterey BBS (Mystic)                    montereybbs.com
Moon Base Alpha (TWGS)                   mba.dnsalias.com:2002
Moon Base Alpha (VADV)                   mba.dnsalias.com
Moratahack                               moratahack.com
MorningSide Mortuary                     mortuary.ddns.net
Mousenet                                 bbs-mousenet.dynip.online:8889
Mouth of Hell BBS                        mouthofhell.duckdns.org
Mozy's Swamp and Red Dwarf BBS           bbs.mozysswamp.org
Mozy's Swamp and Red Dwarf TWGS          bbs.mozysswamp.org:24
MSmac BBS                                msmacbbs.maletazul.pt
MtlGeek (Synchronet)                     mtlgeek.synchro.net
MtlGeek (TWGS)                           mtlgeek.synchro.net:2002
Muinet                                   muinet.com:2323
MULTINUBE-BBS                            multinube.net
Music Station                            bbs.bsrealm.net
Mutiny BBS (1)                           mutinybbs.com:2332
Mutiny BBS (2)                           mutiny.cigdangle.com:65023
Mutiny Brazil                            51.222.231.228:2323
Mutiny Community                         mutinybbs.com:2300
My Retro Computer                        myretrocomp.com
Mysmth BBS                               bbs.mysmth.net
Mysteria Majicka BBS                     majicka.at2k.org:1955
Mystic Garden                            bbs.akitsune.dev
Mystic Hobbies                           mystic-hobbies.com
Mystic Night BBS                         69.244.173.57
Mystic Realms                            mysticrealms.ddns.net:11000
Mystic Rhythms BBS                       mystic.wwivbbs.org
Mystical Realm BBS                       mysticalrealmbbs.com
Mythical Kingdom Tech BBS                ice.lilacway.com:3000
Mythical Kingdom Tech SBBS               bbs.mythicalkingdom.com:5023
Nanyang Inn                              bbs.nykz.net
NE BBS                                   nebbs.servehttp.com:9223
NerdRage BBS                             142.90.39.212
Nervous Hospital                         thenervoushospital.com:1996
Netcrave Communications                  bbs.netcrave.io
Netpoint BBS                             netpoint.webhop.me
Netpoint TWGS                            netpoint.webhop.me:2002
Nettwerked BBS                           nettwerked.synchronetbbs.org
NetVillage Sysop Community               96.231.233.50
Never Never Land BBS                     neverneverlandbbs.com:2323
New World of the Internet                209.141.35.127
Nexus BBS                                nexus.aefinity.io
